file,season,start,end,hours,full_dry_season,covid_affected
dry_2014-2015.csv,dry,2015-01-03 01:00:00,2015-04-15 23:00:00,2471,no,no
wet_2015.csv,wet,2015-04-16 00:00:00,2015-12-14 23:00:00,5832,,no
dry_2015-2016.csv,dry,2015-12-15 00:00:00,2016-04-15 23:00:00,2952,yes,no
wet_2016.csv,wet,2016-04-16 00:00:00,2016-12-14 23:00:00,5832,,no
dry_2016-2017.csv,dry,2016-12-15 00:00:00,2017-04-15 23:00:00,2928,yes,no
wet_2017.csv,wet,2017-04-16 00:00:00,2017-12-14 23:00:00,5832,,no
dry_2017-2018.csv,dry,2017-12-15 00:00:00,2018-04-15 23:00:00,2928,yes,no
wet_2018.csv,wet,2018-04-16 00:00:00,2018-12-14 23:00:00,5832,,no
dry_2018-2019_dec.csv,dry,2018-12-15 00:00:00,2018-12-31 23:00:00,408,no,no
dry_2018-2019_janapr.csv,dry,2019-01-01 00:00:00,2019-04-15 23:00:00,2520,no,no
wet_2019.csv,wet,2019-04-16 00:00:00,2019-12-14 23:00:00,5832,,no
dry_2019-2020_dec.csv,dry,2019-12-15 00:00:00,2019-12-31 23:00:00,408,no,no
dry_2019-2020_janmar.csv,dry,2020-01-01 00:00:00,2020-03-15 23:00:00,1800,no,no
covid_2020.csv,covid,2020-03-16 00:00:00,2020-06-27 00:00:00,2473,,yes
